n1,n2,source
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene-P-F",L-Norvaline-F-F,FEC-PLS
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene-P-F",beta-Alanine-F-F,FEC-PLS
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene-P-F",D-(+)-Galactopyranose-F-F,FEC-PLS
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene-P-F",L-Aspartic acid-F-F,FEC-PLS
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene-P-F",Suberic acid-F-F,FEC-PLS
"1-(2,4-Dimethoxyphenyl)-propan-2-one-P-F",3-Hydroxypicolinic acid-F-F,FEC-PLS
"1-(2,4-Dimethoxyphenyl)-propan-2-one-P-F",Acetohydroxamic acid-F-F,FEC-PLS
"1-(2,4-Dimethoxyphenyl)-propan-2-one-P-F",3-Buten-2-one-F-F,FEC-PLS
"1-(2,4-Dimethoxyphenyl)-propan-2-one-P-F","5,8,11-Eicosatrienoic acid-F-F",FEC-PLS
"1-(2,4-Dimethoxyphenyl)-propan-2-one-P-F","Arabinofuranose, 1,2,3,5-tetrakis-F-F",FEC-PLS
1-(3-Methylphenyl)piperazine-P-F,Deoxyribopyranose-F-F,FEC-PLS
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone-P-F","Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate-F-F",FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,"1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F-F",FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,2-Aminoadipic acid-F-F,FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,2-Pentenedioic acid-F-F,FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,"3,4-Dimethoxymandelic acid-F-F",FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,3-Pyridylcarbinol-F-F,FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,Acetoacetic acid-F-F,FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,Desmethylverapamil-F-F,FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,L-Proline-F-F,FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,L-Threonine-F-F,FEC-PLS
1-Aminocyclopropanecarboxylic acid-P-F,L-Valine-F-F,FEC-PLS
