n1,n2,source
"Aziridine, 1-(2-buten-2-yl)--P-F",Syringic acid-F-F,FEC-PLS
"Aziridine, 1-(2-buten-2-yl)--P-F","Thymine, 1,3-dimethyl-6-hydroxymethyl-F-F",FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",L-Serine-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F","(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F-F",FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F","1,2,4,5-Cyclohexanetetrol-F-F",FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F","2,3,4-Trihydroxybutyric acid-F-F",FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",2-Ethylacetoacetate-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",3-Pyridylcarbinol-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",9-Octadecenamide-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",Butyl Succinate-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F","cis-4,5-Dihydroxy-o-dithiane-F-F",FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",D-(-)-Ribofuranose-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F","D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-posphate-F-F",FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",D-Xylose-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",L-Fucose-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",L-Rhamnose-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",Methylmaleic acid-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",Myristic acid-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",N-(2-hydroxyethyl)-succinimide-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F","N-Acetyl-D-galactosamine, (R,R,R,R)-F-F",FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",Salsoline-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",Syringic acid-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F","Thymine, 1,3-dimethyl-6-hydroxymethyl-F-F",FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",Trisaminol-F-F,FEC-PLS
"Benzaldehyde, 2,5-dimethyl--P-F",Uracil-F-F,FEC-PLS
"Benzene, 1,1'-(1,2-cyclobutanediyl)bis--P-F",2-Ketobutyric acid-F-F,FEC-PLS
"Benzene, 1,1'-(1,2-cyclobutanediyl)bis--P-F",Menthol-F-F,FEC-PLS
"Benzene, 1,1'-(1,2-cyclobutanediyl)bis--P-F",Propylamine-F-F,FEC-PLS
"Benzene, 1,3-bis(1,1-dimethylethyl)--P-F",1-Dodecanol-F-F,FEC-PLS
"Benzene, 1,3-bis(1,1-dimethylethyl)--P-F",1-Octadecanol-F-F,FEC-PLS
"Benzene, 1,3-bis(1,1-dimethylethyl)--P-F",Cyclohexanol-F-F,FEC-PLS
"Benzene, 1,3-bis(1,1-dimethylethyl)--P-F",Heptadecanoic acid-F-F,FEC-PLS
"Benzene, 1,3-bis(1,1-dimethylethyl)--P-F","Hexadecanoic acid, ethyl ester-F-F",FEC-PLS
"Benzene, 1,3-bis(1,1-dimethylethyl)--P-F",Idoxuridine-F-F,FEC-PLS
"Benzene, 1,3-bis(1,1-dimethylethyl)--P-F","Inosose-2, myo-F-F",FEC-PLS
"Benzene, 1,3-bis(1,1-dimethylethyl)--P-F",Isopropyl palmitate-F-F,FEC-PLS
"Benzene, 3-cyclohexen-1-yl--P-F","2,4-Di-tert-butylphenol-F-F",FEC-PLS
"Benzene, 3-cyclohexen-1-yl--P-F",3-Buten-2-one-F-F,FEC-PLS
"Benzene, 3-cyclohexen-1-yl--P-F",Hydracrylic acid-F-F,FEC-PLS
"Benzene, 3-cyclohexen-1-yl--P-F",Itaconic acid-F-F,FEC-PLS
"Benzene, 3-cyclohexen-1-yl--P-F",Kojic acid-F-F,FEC-PLS
"Benzene, 3-cyclohexen-1-yl--P-F",Ribitol-F-F,FEC-PLS
"Benzene, 3-cyclohexen-1-yl--P-F",Uracil-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",10-Heptadecenoic acid-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",N-Methyl-alpha-aminoisobutyric acid-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F","2-Pentenedioic acid, 2-hydroxy--F-F",FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",alpha-D-(+)-Talopyranose-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",beta-Alanine-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",Desmethylverapamil-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",Ethanolamine-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",Hydracrylic acid-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",L-Aspartic acid-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",L-Threonine-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",Methyl alpha-Arabinofuranoside-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",Methyl stearate-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",Methylmaleic acid-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",Supraene-F-F,FEC-PLS
"Benzene, 4-ethenyl-1,2-dimethoxy--P-F",Tyrosine-F-F,FEC-PLS
Benzeneacetamide-P-F,Propanedioic acid-F-F,FEC-PLS
Benzeneacetamide-P-F,"Xylonic acid, delta-lactone-F-F",FEC-PLS
"Benzeneethanamine, N-[(pentafluorophenyl)methylene]-4-[(trimethylsilyl)oxy]--P-F",beta-Arabinopyranose-F-F,FEC-PLS
"Benzeneethanamine, N-[(pentafluorophenyl)methylene]-4-[(trimethylsilyl)oxy]--P-F",Butyl Succinate-F-F,FEC-PLS
"Benzenemethanamine, 2,3-dimethoxy--P-F",l-Leucyl-l-valine-F-F,FEC-PLS
"Benzenemethanamine, 2,3-dimethoxy--P-F",N-Acetyl glucosamine methoxime-F-F,FEC-PLS
"Benzenemethanamine, 2,3-dimethoxy--P-F",Oxalic acid-F-F,FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F",2-Hydroxy-2-methylbutyric acid-F-F,FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F",Acetoacetic acid-F-F,FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F","cis-4,5-Dihydroxy-o-dithiane-F-F",FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F",L-Rhamnose-F-F,FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F","L-Valinamide, N(2),N(2)-dimethyl-F-F",FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F",N-Acetyl-L-phenylalanine-F-F,FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F",Pantolactone-F-F,FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F",Pentanedioic acid-F-F,FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F",Phenol-F-F,FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F",Propanedioic acid-F-F,FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F",Stearic acid-F-F,FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F",Suberic acid-F-F,FEC-PLS
"Benzenepropanoic acid, 3,5-bis(1,1-dimethylethyl)-4-hydroxy--P-F",Supraene-F-F,FEC-PLS
Benzenepropanoic acid-P-F,2'-Deoxyribolactone-F-F,FEC-PLS
Benzenepropanoic acid-P-F,5-Aminovaleric acid-F-F,FEC-PLS
Benzenepropanoic acid-P-F,Putrescine-F-F,FEC-PLS
"Benzimidazole, 5-trifluoromethyl-2-methyl--P-F",9-Octadecenoic acid-F-F,FEC-PLS
"Benzimidazole, 5-trifluoromethyl-2-methyl--P-F",Cinnamic acid-F-F,FEC-PLS
"Benzimidazole, 5-trifluoromethyl-2-methyl--P-F",l-Leucyl-l-valine-F-F,FEC-PLS
"Benzimidazole, 5-trifluoromethyl-2-methyl--P-F",Oxalic acid-F-F,FEC-PLS
"Benzimidazole, 5-trifluoromethyl-2-methyl--P-F","Propanoic acid, 2-methyl-, hexyl ester-F-F",FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F",10-Heptadecenoic acid-F-F,FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F","1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F-F",FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F","2,5-Dimethoxymandelic acid-F-F",FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F",2-Hydroxy-3-methylbutyric acid-F-F,FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F","3,4-Dimethoxymandelic acid-F-F",FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F",4-Methoxyphenol-F-F,FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F","Benzaldehyde, 2,5-dimethoxy-F-F",FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F",D-(-)-Fructopyranose-F-F,FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F",Ethyl alpha-D-glucopyranoside-F-F,FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F",Itaconic acid-F-F,FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F","L-Valinamide, N(2),N(2)-dimethyl-F-F",FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F",Suberic acid-F-F,FEC-PLS
"Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza--P-F",Tyrosine-F-F,FEC-PLS
"Benzoic acid, methyl ester-P-F",Cinnamic acid-F-F,FEC-PLS
"Benzoic acid, methyl ester-P-F","L-Valinamide, N(2),N(2)-dimethyl-F-F",FEC-PLS
"Benzoic acid, methyl ester-P-F",Menthol-F-F,FEC-PLS
"Benzoic acid, methyl ester-P-F",Propylamine-F-F,FEC-PLS
"Benzoic acid, pentadecyl ester-P-F","Stigmast-5-ene, 3beta-F-F",FEC-PLS
Benzoic Acid-P-F,12-Oxooctadecanoate-F-F,FEC-PLS
Benzoic Acid-P-F,2-Piperidinone-F-F,FEC-PLS
Benzophenone-P-F,"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F-F",FEC-PLS
Benzophenone-P-F,1-Octanol-F-F,FEC-PLS
Benzophenone-P-F,9-Octadecenoic acid-F-F,FEC-PLS
Benzophenone-P-F,Arabinose-F-F,FEC-PLS
Benzophenone-P-F,D-(-)-Fructopyranose-F-F,FEC-PLS
Benzophenone-P-F,l-Leucyl-l-valine-F-F,FEC-PLS
Benzophenone-P-F,Phthalimide-F-F,FEC-PLS
Benzophenone-P-F,"Stigmast-5-ene, 3beta-F-F",FEC-PLS
Benzophenone-P-F,Xylose-F-F,FEC-PLS
Benzyl alcohol-P-F,4-Pentenoic acid-F-F,FEC-PLS
Benzyl alcohol-P-F,17-alpha-Hydroxypregnenolone-F-F,FEC-PLS
Benzyl alcohol-P-F,"2,4-Di-tert-butylphenol-F-F",FEC-PLS
Benzyl alcohol-P-F,"2-Allyl-1,4-dimethoxybenzene-F-F",FEC-PLS
Benzyl alcohol-P-F,3-(3-Hydroxyphenyl)propanoic acid-F-F,FEC-PLS
Benzyl alcohol-P-F,3-Methyl-2-furoic acid-F-F,FEC-PLS
Benzyl alcohol-P-F,"Benzaldehyde, 2,5-dimethoxy-F-F",FEC-PLS
Benzyl alcohol-P-F,Cinnamic acid-F-F,FEC-PLS
Benzyl alcohol-P-F,D-Fucitol-F-F,FEC-PLS
Benzyl alcohol-P-F,l-Leucyl-l-valine-F-F,FEC-PLS
Benzyl alcohol-P-F,N-Acetyl glucosamine methoxime-F-F,FEC-PLS
Benzyl alcohol-P-F,Oxalic acid-F-F,FEC-PLS
Benzyl alcohol-P-F,Syringic acid-F-F,FEC-PLS
"beta-d-Fructopyranose, 1-deoxy-1-(4-morpholinyl)-2,3,4,5-tetrakis-O-(trimethylsilyl)--P-F",Vanillin-F-F,FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F","1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F-F",FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F","2-Allyl-1,4-dimethoxybenzene-F-F",FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F",2-Hydroxy-3-methylbutyric acid-F-F,FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F",3-(3-Hydroxyphenyl)propanoic acid-F-F,FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F",3-Hexenedioic acid-F-F,FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F",4-Methoxyphenol-F-F,FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F",9-Octadecenoic acid-F-F,FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F",alpha-D-Xylopyranose-F-F,FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F",Cinnamic acid-F-F,FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F",Cyclohexanemethanol-F-F,FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F","Dimethyl hexopyranosiduronate, alpha-D-F-F",FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F",Dodecanamide-F-F,FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F","Hydantoin, 5-hydroxy-F-F",FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F",Oxalic acid-F-F,FEC-PLS
"beta-D-Galactofuranose, 1,2,3,5,6-pentakis-O-(trimethylsilyl)--P-F",Sebacic acid-F-F,FEC-PLS
beta-D-Glucopyranose-P-F,"2-Pentenedioic acid, 2-hydroxy--F-F",FEC-PLS
beta-D-Glucopyranose-P-F,Ethanolamine-F-F,FEC-PLS
beta-D-Glucopyranose-P-F,Ethyl alpha-D-glucopyranoside-F-F,FEC-PLS
beta-D-Glucopyranose-P-F,"Guanidine, N,N-dimethyl-F-F",FEC-PLS
beta-D-Glucopyranose-P-F,"Hexadecanoic acid, ethyl ester-F-F",FEC-PLS
beta-D-Glucopyranose-P-F,Hydracrylic acid-F-F,FEC-PLS
beta-D-Glucopyranose-P-F,L-Isoleucine-F-F,FEC-PLS
beta-D-Glucopyranose-P-F,Octadecyl octyl ether-F-F,FEC-PLS
beta-D-Glucopyranose-P-F,Phenylalanine-F-F,FEC-PLS
beta-D-Glucopyranose-P-F,Suberic acid-F-F,FEC-PLS
beta-D-Glucopyranose-P-F,Supraene-F-F,FEC-PLS
beta-D-Glucopyranose-P-F,Vanillin-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,"2,4-Di-tert-butylphenol-F-F",FEC-PLS
beta-Hydroxypyruvic acid-P-F,2-Aminoadipic acid-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)-F-F",FEC-PLS
beta-Hydroxypyruvic acid-P-F,3-O-methyl-beta-D-Glucopyranose-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,3-Pyridylcarbinol-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,4-Hydroxybenzaldehyde-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,4-Hydroxybenzoic acid-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,4-Methoxyphenol-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,D-(-)-Fructofuranose-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,D-Glucose-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,DL-Phenylalanine-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,L-Aspartic acid-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,L-Isoleucine-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,Methylsuccinic acid-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,Phenylalanine-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,Salsoline-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,Serine-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,Suberic acid-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,Tyrosine-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,Uridine-F-F,FEC-PLS
beta-Hydroxypyruvic acid-P-F,Xylazine-F-F,FEC-PLS
beta-Lyxopyranose-P-F,Urea-F-F,FEC-PLS
beta-Methylphenethylamine-P-F,"Xylonic acid, delta-lactone-F-F",FEC-PLS
5-Hydroxyhexanoic acid-P-F,4-Coumaric acid-F-F,FEC-PLS
5-Hydroxyhexanoic acid-P-F,D-(-)-Fructopyranose-F-F,FEC-PLS
5-Hydroxyhexanoic acid-P-F,"Stigmast-5-ene, 3beta-F-F",FEC-PLS
Bis(trimethylsilyl)acetylene-P-F,1-Octadecanol-F-F,FEC-PLS
Bis(trimethylsilyl)acetylene-P-F,2-Pyrrolidinone-F-F,FEC-PLS
Bis(trimethylsilyl)acetylene-P-F,6-Hydroxyhexanoic acid-F-F,FEC-PLS
Bis(trimethylsilyl)acetylene-P-F,Pyrrole-2-carboxylic acid-F-F,FEC-PLS
Bis(trimethylsilyl)histidine-P-F,2-Ethylhexanoic acid-F-F,FEC-PLS
Bis(trimethylsilyl)histidine-P-F,"cis-4,5-Dihydroxy-o-dithiane-F-F",FEC-PLS
Bis(trimethylsilyl)histidine-P-F,phenoxyethanol-F-F,FEC-PLS
Bis(trimethylsilyl)histidine-P-F,Trisaminol-F-F,FEC-PLS
Butanedioic acid-P-F,3-Pyridylcarbinol-F-F,FEC-PLS
Butanedioic acid-P-F,pyrazole-F-F,FEC-PLS
Butanedioic acid-P-F,Lactic Acid-F-F,FEC-PLS
Butanedioic acid-P-F,"Propanoic acid, 2-methyl-, hexyl ester-F-F",FEC-PLS
"Butanoic acid, 2-methyl-3-[(trimethylsilyl)oxy]--P-F",Dihydrouracil-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",10-Heptadecenoic acid-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",L-Serine-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F","2',2,3,6'-Tetramethoxychalcone-F-F",FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F","2,4-Di-tert-butylphenol-F-F",FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",2-Aminobutanoic acid-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",2-Ethylacetoacetate-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",2-Pyrrolidinone-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",3-Pyridylcarbinol-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",4-hydroxy-3-penten-2-one-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",4-Hydroxybenzaldehyde-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",Cytosine-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",D-(-)-Fructofuranose-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",D-(+)-Glucosamine-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",DL-Phenylalanine-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",Heptadecanoic acid-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F","Hexadecanoic acid, ethyl ester-F-F",FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",L-Aspartic acid-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",L-Isoleucine-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",L-Proline-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",L-Threonine-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",L-Valine-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",Methyl stearate-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F","N,N-Diethyl-2-aminoethanol-F-F",FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",Phenylalanine-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",Pipecolic acid-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",Propylamine-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",Pyridoxine-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",Supraene-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",Tyrosine-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",Uracil-F-F,FEC-PLS
"Butanoic acid, 2,4-bis[(trimethylsilyl)oxy]--P-F",Vanillin-F-F,FEC-PLS
Butylated Hydroxytoluene-P-F,Thr-Leu-F-F,FEC-PLS
Butylated Hydroxytoluene-P-F,"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate-F-F",FEC-PLS
Butylmethylamine-P-F,"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F-F",FEC-PLS
Butylmethylamine-P-F,1-Octanol-F-F,FEC-PLS
Butylmethylamine-P-F,2-Hydroxy-3-methylbutyric acid-F-F,FEC-PLS
Butylmethylamine-P-F,2-Pyrrolidinone-F-F,FEC-PLS
Butylmethylamine-P-F,4-hydroxy-3-penten-2-one-F-F,FEC-PLS
Butylmethylamine-P-F,9-Octadecenoic acid-F-F,FEC-PLS
Butylmethylamine-P-F,Cyclohexanemethanol-F-F,FEC-PLS
Butylmethylamine-P-F,"Hexadecanoic acid, ethyl ester-F-F",FEC-PLS
Butylmethylamine-P-F,l-Leucyl-l-valine-F-F,FEC-PLS
Butylmethylamine-P-F,Norketamine-F-F,FEC-PLS
Cadaverine-P-F,Pentanoic acid-F-F,FEC-PLS
Cadaverine-P-F,Supraene-F-F,FEC-PLS
Campesterol-P-F,L-Glutamine-F-F,FEC-PLS
"Carbonic acid, eicosyl vinyl ester-P-F","3,4-Dimethoxymandelic acid-F-F",FEC-PLS
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P-F",3-Aminobutanoic acid-F-F,FEC-PLS
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P-F","1,7-Dimethyl-4-(1-methylethyl)cyclodecane-F-F",FEC-PLS
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P-F",2-Aminoadipic acid-F-F,FEC-PLS
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P-F",2-Ethylhexanoic acid-F-F,FEC-PLS
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P-F",beta-Alanine-F-F,FEC-PLS
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P-F","Hexonic acid, 3-deoxy-, gamma-lactone-F-F",FEC-PLS
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P-F",Levoglucosan-F-F,FEC-PLS
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P-F",L-Valyl-L-leucine-F-F,FEC-PLS
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P-F",Methylmaleic acid-F-F,FEC-PLS
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P-F",Serine-F-F,FEC-PLS
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)--P-F",Tyrosine-F-F,FEC-PLS
"Cetaben, N,O-bis(trimethylsilyl)--P-F","3,4-Dihydrocoumarin, 4,4-dimethyl-6-dimethylamino-F-F",FEC-PLS
"Cetaben, N,O-bis(trimethylsilyl)--P-F",phenoxyethanol-F-F,FEC-PLS
"Cetaben, N,O-bis(trimethylsilyl)--P-F",Suberic acid-F-F,FEC-PLS
