n1,n2,edge_dir,FDR
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",D-(+)-Glucosamine-F,1,0.387610442
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Decanoic acid-F,-1,0.332182469
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",DL-Phenylalanine-F,1,0.480407871
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",D-Xylose-F,1,0.536037452
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Ethyl glycolate-F,-1,0.443681863
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P","Gluconolactone (3R,4S,5R,6R)-F",1,0.128130996
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Glyceric acid-F,1,0.672719209
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Glycerol-F,-1,0.387610442
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P","Guanidine, N,N-dimethyl-F",-1,0.19453604
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P","Gulonic acid, gamma-lactone-F",1,0.897034016
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P","Hexadecanoic acid, methyl ester-F",-1,0.296604275
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Hydroquinone-F,-1,0.243594675
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Hymexazole-F,1,0.714038831
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Isopropyl myristate-F,-1,0.349517203
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Isopropyl palmitate-F,-1,0.178527338
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",L-5-Oxoproline-F,1,0.897034016
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",L-Aspartic acid-F,1,0.278425344
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Levoglucosan-F,-1,0.938505265
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Levulinic acid-F,-1,0.794912916
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",L-Glutamic acid-F,1,0.554868711
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",L-Isoleucine-F,1,0.164069417
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P","Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate-F",-1,0.653677559
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Methylsuccinic acid-F,1,0.278425344
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Monomethyl succinate-F,-1,0.978130614
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P","N,N-Diethyl-carbamate-F",-1,0.209976818
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",n-Nonylcyclohexane-F,-1,0.148309907
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Nonanoic acid-F,-1,0.178527338
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Octanoic acid-F,-1,0.178527338
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Palmitic Acid-F,-1,0.278425344
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Pantothenic acid-F,1,0.714038831
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Phenol-F,-1,0.387610442
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",phenoxyethanol-F,-1,0.314983683
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Phenylalanine-F,1,0.554868711
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Phthalazin-1-one-F,-1,0.079428959
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Pipecolic acid-F,1,0.653677559
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P","Propane, 2-methyl-F",-1,0.162945467
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Propylamine-F,-1,0.516958739
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Protocatechoic acid-F,-1,0.393918021
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Pyrrole-2-carboxylic acid-F,1,0.672719209
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Tetrahydrogeranyl formate-F,-1,0.278425344
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Thymidine-F,1,0.573616046
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P","Thymine, 1,3-dimethyl-6-hydroxymethyl-F",1,0.349517203
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Triethanolamine-F,-1,0.231699744
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Tyrosine-F,1,0.226902674
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Undecanoic acid-F,-1,0.623227828
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Urea-F,-1,0.612811679
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Uridine-F,1,0.118842326
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P",Vanillin-F,1,0.405708641
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide-P","Xylonic acid, delta-lactone-F",1,0.612811679
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",4-Pentenoic acid-F,-1,0.159030817
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Acetohydroxamic acid-F,-1,0.1322918
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",L-Asparagine-F,1,0.415653212
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",L-Hydroxyproline-F,1,0.255842583
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",L-Lysine-F,-1,0.395616873
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",L-Serine-F,1,0.794510689
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",N-Acetylglucosamine-F,1,0.510042327
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Phloroglucinol-F,-1,0.506792285
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl--F",-1,0.597845847
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","1,4-Butanediol-F",1,0.744418096
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",1-Hexacosene-F,-1,0.75389389
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",1-Hexadecanol-F,1,0.736385831
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)-F",-1,0.001008953
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",1-Methyl-4-hydroxy-1H-imidazol-2-amine-F,1,0.23839113
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",1-Octanol-F,-1,0.196030754
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","1-Propanamine, N,N-diethyl--F",-1,0.802799654
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","2,2,4-Trimethyl-1,3-pentanediol diisobutyrate-F",-1,0.222392249
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","2,3-Dihydroxy-2-methylpropanoic acid-F",-1,0.460813069
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)-F",-1,0.11402164
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","2,5-Dimethoxymandelic acid-F",1,0.014039645
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","2,5-Dimethoxyphenol-F",1,0.569353213
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","2-Allyl-1,4-dimethoxybenzene-F",1,0.06989346
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",2-Amino-4-tert-butylphenol-F,-1,0.148991564
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",2-Hydroxy-2-methylbutyric acid-F,-1,0.030663469
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",2-Hydroxy-5-methoxybenzaldehyde-F,1,0.449654387
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",2-Isopropyl-5-methyl-1-heptanol-F,-1,0.302810325
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",2-Ketobutyric acid-F,-1,0.161572686
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","2-Pentenedioic acid, 2-hydroxy--F",-1,0.085239906
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",2-tert-Butyl-4-ethylphenol-F,1,0.100350591
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","3,4,5-Trihydroxypentanoic acid-F",1,0.865574853
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","3,4-Dimethoxymandelic acid-F",1,0.119789568
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","3,4-dimethyl-5-(3,4-methylenedioxy)phenyloxazolidine-F",1,0.180583362
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",3-Buten-2-one-F,1,0.193588501
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",3-Methylvaleric acid-F,-1,0.870466274
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",3-Undecene-F,-1,0.151081187
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",pyrazole-F,-1,0.028926271
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",4-Aminobenzoic acid-F,1,0.315100744
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",4-Coumaric acid-F,-1,0.071483682
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",4-Hydroxybenzeneacetic acid-F,1,0.522728062
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",4-Hydroxybutanoic acid-F,-1,0.620589787
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",4-Hydroxyphenyllactic acid-F,1,0.413886589
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",4-Pyridinol-F,1,0.670237223
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","5,8,11-Eicosatrienoic acid-F",-1,0.361573473
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",5-Aminovaleric acid-F,-1,0.722164805
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",5-Hydroxy-2-methylpyridine-F,-1,0.13197802
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",9-Octadecenoic acid-F,-1,0.055697947
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Acetoacetic acid-F,-1,0.017914457
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",alpha-D-(+)-Talopyranose-F,1,0.293305498
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Arabinose-F,-1,0.339390208
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Azelaic acid-F,1,0.59023052
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","Azetidine, 1-acetyl-2-methyl-F",-1,0.716000853
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy-F",1,0.903394135
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Butanedioic acid-F,-1,0.27118637
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Cholesterol-F,1,0.516958739
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",D-(-)-Fructopyranose-F,-1,0.000287585
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",D-(+)-Talofuranose-F,-1,0.401600352
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Dihydrouracil-F,-1,0.467192461
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Dihydroxyacetone-F,-1,0.383097424
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","Dimethyl hexopyranosiduronate, alpha-D-F",1,0.105366012
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Ethyl alpha-D-glucopyranoside-F,-1,0.248725562
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Glycolic acid-F,-1,0.443681863
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","Guanidine, N,N-dimethyl-F",-1,0.910436022
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Hexacosanoic acid-F,-1,0.839511321
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Hydracrylic acid-F,-1,0.166284874
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Idoxuridine-F,1,0.360556388
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Ketamine-F,-1,0.794912916
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",L-(+)-Rhamnopyranose-F,-1,0.27691014
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Lactic Acid-F,-1,0.16448245
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",l-Leucyl-l-valine-F,1,0.02697213
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",L-Valine-F,1,0.935761555
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Malic acid-F,-1,0.167850312
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Menthol-F,-1,0.339945305
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate-F",1,0.23978911
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Methyl beta-Arabinofuranoside-F,1,0.581164183
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","Methyl galactoside (1S,2S,3S,4R,5R)-F",-1,0.861360606
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Monocaprylin-F,1,0.770094206
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Myristic acid-F,-1,0.083573183
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","N,N-Diethyl-carbamate-F",-1,0.824216203
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Oxalic acid-F,1,0.046929189
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Palmitic Acid-F,-1,0.762868117
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Pantolactone-F,-1,0.003282109
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Pentanedioic acid-F,-1,0.102758706
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Pentanoic acid-F,-1,0.490351821
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",phenoxyethanol-F,1,0.993709252
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Phthalazin-1-one-F,-1,0.772074584
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","Propane, 2-methyl-F",-1,0.989495424
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Propylamine-F,-1,0.952444491
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Pyrogallol-F,1,0.576569128
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Ribonic acid-F,-1,0.063032208
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Ser-Leu-F,1,0.441937237
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","Stigmast-5-ene, 3beta-F",1,0.099110808
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Tetrahydrogeranyl formate-F,-1,0.786490168
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Thymidine-F,-1,0.409967526
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P","Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate-F",-1,0.30080208
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Tripropylene glycol monomethyl ether-F,-1,0.509011723
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Undecanoic acid-F,-1,0.275922011
"(7a-Isopropenyl-4,5-dimethyloctahydroinden-4-yl)methanol-P",Xylose-F,-1,0.03110803
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",Acetohydroxamic acid-F,-1,0.289444428
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",Butyl caprylate-F,-1,0.198415453
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",Deoxyglucose-F,-1,0.721402799
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",Erythritol-F,-1,0.399145362
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",Ethanamine-F,1,0.250649197
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",Niacinamide-F,-1,0.585364532
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",Thr-Leu-F,-1,0.169607062
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P","1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl--F",1,0.545721941
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",11-Hydroxy-.DELTA.-9-tetrahydrocannabinol-F,1,0.906558369
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl--P",17-alpha-Hydroxypregnenolone-F,1,0.635580776
