102,106,ID,104,T0.7,100,103,101,75
,7.05931528934503e-06,10-Heptadecenoic acid-F,2.029559696648541e-06,3.687793914310128e-05,1.789660733847541e-06,2.109113763709528e-06,4.212657840889381e-06,2.109113763709528e-06
1.2283094544721137e-05,2.7192928148823935e-05,3-Aminobutanoic acid-F,5.709265376450192e-06,,3.540592791728589e-05,3.181682859142023e-05,1.575068747324872e-05,5.5271362064019945e-06
3.31249127950806e-05,9.544911242431532e-06,3-Hydroxypicolinic acid-F,4.62427317050719e-05,2.147498437033308e-05,4.160102815174802e-06,2.634354491413347e-05,1.9026758404792984e-05,2.970422976887245e-05
5.6920350543708695e-05,3.506076244015584e-05,4-Pentenoic acid-F,5.9080782430912375e-05,,6.220703947074165e-05,0.0001247429022167952,0.00011486669038396257,2.3774837933029484e-05
5.005104997020778e-06,,Acetohydroxamic acid-F,1.5744919334713476e-05,2.2406156714051934e-05,7.766967961267407e-07,1.7104303034974996e-05,3.687793914310128e-05,2.4096179100994253e-05
,1.2458687030274941e-06,Argininosuccinic acid-F,,,,,,
1.7922328777662263e-05,1.1902622933739394e-05,Butyl caprylate-F,1.4579608703051316e-05,,7.2138788215239956e-06,9.76430696312015e-06,1.0603883113983254e-05,1.35160529853322e-05
4.463682502934161e-05,,Deoxyglucose-F,,,,,,
3.7988389220130135e-05,1.0859288351675113e-05,Dodecanedioic acid-F,4.1974889587643094e-05,,3.938520390995757e-05,2.5416841227163986e-05,3.422792770823838e-05,1.3763208976609617e-05
1.3647786235958915e-05,2.483078817706204e-05,Erythritol-F,1.9996966886246706e-05,,8.993228650066688e-06,1.3281609009998192e-05,1.83731546419121e-05,2.4096179100994253e-05
,5.051490468464879e-07,Ethanamine-F,,2.0102003582969643e-05,1.307044056450904e-05,1.782040887599989e-05,9.614322050240259e-06,
,,L-Asparagine-F,,2.116270788611208e-05,1.9460812685940262e-05,4.317767916470863e-06,4.561994165419624e-06,
,,L-Glutamine-F,,2.185160409217228e-05,,,,
1.1659656398198631e-05,3.2583451510742636e-05,L-Hydroxyproline-F,7.390743356546684e-06,1.7330099864400886e-05,1.5790216861071502e-05,1.448044567008877e-05,1.1479781011992627e-05,4.681531061450952e-06
7.330555452571142e-06,3.382596780109597e-06,L-Lysine-F,2.634354491413347e-05,3.7988389220130135e-05,4.954047227988588e-05,2.42896536467224e-05,1.1349022807710562e-05,3.776279473693108e-05
6.26850602475329e-06,8.944570875658423e-06,L-Norvaline-F,,1.3932791996829879e-05,4.7287296916796654e-05,2.313973378450096e-05,1.7526733275419454e-05,1.1812957040007942e-05
1.4861771818347085e-05,1.8423418974549786e-05,L-Serine-F,1.5744919334713476e-05,1.8595532697554464e-05,1.6530764204792264e-05,1.8710032963879787e-05,1.235586967946416e-05,1.710488269808292e-05
2.030457547091707e-05,1.63820550378874e-05,N-Acetylglucosamine-F,1.1027329716359414e-05,3.918652043120164e-05,7.830005257814369e-06,6.410432747670929e-06,1.8073418160463458e-05,5.935310561885849e-06
5.422453129935512e-06,3.0853405893006655e-05,Niacinamide-F,1.4115726791071148e-05,2.620625814779149e-05,1.251816528613377e-05,1.0090223013501273e-05,1.5609026755639387e-05,1.950777689971103e-05
9.544911242431532e-06,,N-Methyl-alpha-aminoisobutyric acid-F,9.86678912541326e-06,4.2751237330948965e-05,1.1902622933739394e-05,5.7874234617884066e-06,1.9582579481758422e-05,2.9132075330914097e-06
2.6988523191489027e-05,1.8079635399120293e-05,Phloroglucinol-F,2.452308768438531e-05,3.2292539494155514e-05,1.8761136254979415e-05,1.7104303034974996e-05,2.206483434554881e-05,2.0658751508868113e-05
1.0454787836875021e-05,3.0030604806098397e-05,Thr-Leu-F,,2.7700395279694107e-05,1.5090261259838827e-05,4.364139980073052e-06,,2.789027046413348e-05
,1.3589139203882465e-05,Xanthine-F,,1.1267313288645191e-05,4.04726402169037e-06,6.674519908748268e-07,4.471311006304033e-06,
4.631037028103475e-06,3.1564037196736394e-06,"(2,2-Dimethyl-5-[2-(2-ethoxymethoxy)propyl][1,3]dioxolan-4-yl)methanol-F",2.929972100053881e-05,,3.167052156207146e-06,,,4.127417515545797e-05
1.9545178190734727e-05,2.4346414968044438e-05,"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile-F",2.1275246514153338e-05,4.7287296916796654e-05,2.6988523191489027e-05,2.9963994925811656e-05,2.5766059361524834e-05,2.0755781389938976e-05
1.89144461282783e-05,1.161057319537282e-05,"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-F",1.5437346694893024e-05,,8.82987821579131e-06,1.182446759253253e-05,1.6709213173689982e-05,1.1349022807710562e-05
1.4219892183594853e-05,1.0389523267657626e-05,"1(2H)-Naphthalenone, 3,4-dihydro-3,3,6,8-tetramethyl--F",1.2535323434486798e-05,2.7298397369040544e-05,1.054808719348354e-05,1.182446759253253e-05,1.3307026984933546e-05,1.2686874670412843e-05
2.2880449778157066e-05,1.732656189020077e-05,1-(2-Methoxy-1-methylethoxy)-2-propanol-F,1.873429735255363e-05,,1.9834363825530043e-05,2.01274101474737e-05,1.950777689971103e-05,1.4372265497424617e-05
2.5968462607703692e-06,3.268627187811113e-05,"1,1'-Biphenyl, 2,2',5,5'-tetramethyl-F",4.0251084634536926e-06,,1.9002326871187014e-06,2.8730183291815375e-06,3.776279473693108e-05,4.792990000527625e-05
