DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
16.548397760488008,13.783405868376022,15.564115838261685,16.027442504336406,15.39656988471546,16.649394651426014,16.38716185479659,17.504940337930993,14.22183651652919,15.39656988471546,14.77794148459306,15.794924887690241,16.10708189958663,15.684213392506413
18.299161313868307,19.044780457273152,21.03415127487163,19.36205780789064,19.044780457273152,20.349076790547734,19.511528355008892,19.977070348849676,17.848056725654924,18.697253042531315,18.145516841146943,17.917954706335404,19.90628699179653,19.90628699179653
,,,,,,,17.313901308851932,,,18.572420897099427,,,
25.248245599251963,27.706069701939082,27.439594575526513,28.328763097489578,28.220824986859178,30.573336989554633,28.328763097489578,26.50296267227539,27.60464096162688,28.139723574834868,27.21934825959647,25.491807134917025,24.059471680211118,27.21934825959647
21.89766089201072,6.637474595960846,23.77270330773383,24.059471680211118,23.584213588252027,,17.044039991717742,14.44344997303848,24.69908251133796,25.404802973180967,23.99000942053065,17.044039991717742,11.432133533201073,24.361767611067528
,,,,,,,,,,,,,
,23.953297105679837,26.8471068534773,26.124112340107267,25.96252317418443,23.484143310267747,,23.99000942053065,,24.491789288861316,23.920579189958964,,27.084943944408092,27.60464096162688
16.78619280811605,18.145516841146943,18.47862430573336,18.76637914203081,17.917954706335404,15.794924887690241,18.964499198463745,16.894290018224726,18.145516841146943,,18.090663406345644,18.299161313868307,18.090663406345644,18.090663406345644
25.313618060977973,24.791158461587774,24.304911461865277,25.58298494600797,24.69908251133796,25.248245599251963,25.491807134917025,25.741137750046672,25.96252317418443,25.6563659490016,25.313618060977973,25.050447238005177,25.491807134917025,25.491807134917025
16.954735439681233,21.42405899916408,20.159049269761585,21.03415127487163,21.89766089201072,,21.278227382097498,22.176682287677355,18.994720196960333,22.336032499821254,20.060474603176946,17.67570612907752,21.9535073039897,22.176682287677355
,14.91150018039568,15.925482683255618,,7.5486253233047425,,15.794924887690241,13.17498269461429,14.021419364841742,8.64390924178897,10.101353297214947,,12.73466395698144,11.053448878828174
18.87000098295748,18.527065735233002,18.816900848646988,19.236639097669983,18.145516841146943,18.929456495102794,18.76637914203081,18.87000098295748,18.40008695193352,18.76637914203081,18.527065735233002,18.964499198463745,18.40008695193352,18.40008695193352
,,,,,,,,,17.420656950089175,,,,
,,,,,,26.06651650878252,,,,,,,
,,19.90628699179653,,17.044039991717742,,,17.605330159289814,,,,,,
12.340219003345359,,,11.999708944648896,13.019379474962212,,,,,,,8.64390924178897,,
17.259371352214917,16.267931772699097,17.313901308851932,17.259371352214917,16.548397760488008,18.994720196960333,19.12715709241501,,16.649394651426014,17.259371352214917,16.894290018224726,16.649394651426014,16.78619280811605,16.548397760488008
,,,,,26.023750424771674,,,,,,,,
27.92524459775121,28.139723574834868,28.139723574834868,28.73936053878384,27.78907181958203,27.78907181958203,27.439594575526513,28.139723574834868,28.504702814838293,27.439594575526513,27.706069701939082,28.504702814838293,28.022288157553156,28.022288157553156
,,,,,,,,,,,,,
