node1,node2
Syringaldehyde__FEC,"Erythrono-1,4-lactone__FEC"
Syringaldehyde__FEC,"Propanoic acid, 2-oxo__FEC"
1-Dodecanol__FEC,2'-Deoxyribolactone__FEC
1-Dodecanol__FEC,3-Deoxyhexitol__FEC
1-Dodecanol__FEC,"Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
1-Dodecanol__FEC,Undecanoic acid__FEC
Benzoic Acid__FEC,13-Docosenamide__FEC
Benzoic Acid__FEC,Pentanoic acid__FEC
Benzoic Acid__FEC,"Propane, 2-methyl__FEC"
Benzoic Acid__FEC,Pyridoxic acid__FEC
D-Allofuranose__FEC,Octadecyl octyl ether__FEC
L-Valyl-L-leucine__FEC,3-(3-Hydroxyphenyl)propanoic acid__FEC
L-Valyl-L-leucine__FEC,Cyclohexanemethanol__FEC
L-Valyl-L-leucine__FEC,"Xylonic acid, delta-lactone__FEC"
2-Piperidinone__FEC,Butanedioic acid__FEC
D-(-)-Ribofuranose__FEC,Lignoceric acid__FEC
1-Tetradecanol__FEC,"Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
1-Tetradecanol__FEC,Palmitic Acid__FEC
Pyrogallol__FEC,Xanthine__FEC
Pyrogallol__FEC,"Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
6-Hydroxyhexanoic acid__FEC,2-Hydroxy-3-methylbutyric acid__FEC
Pentadecanoic acid__FEC,Cyclohexanecarboxylic acid__FEC
Pentadecanoic acid__FEC,Myristic acid__FEC
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol__FEC,2'-Deoxyribolactone__FEC
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol__FEC,4-Hydroxybutanoic acid__FEC
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol__FEC,Pimelic acid__FEC
"2,3-Butanediol__FEC",Pimelic acid__FEC
L-Glutamic acid__FEC,"2-Pentenedioic acid, 2-hydroxy-__FEC"
L-Glutamic acid__FEC,L-(-)-Sorbofuranose__FEC
L-Glutamic acid__FEC,N-Acetyl-L-glutamic acid__FEC
L-Rhamnose__FEC,"Propanoic acid, 2-oxo__FEC"
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone__FEC",d-Erythrotetrofuranose__FEC
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone__FEC",Octadecyl octyl ether__FEC
N-(2-hydroxyethyl)-succinimide__FEC,Phloretic acid__FEC
Cyclohexanecarboxylic acid__FEC,4-Methyl-5-thiazoleethanol__FEC
Cyclohexanecarboxylic acid__FEC,"Inosose-2, myo__FEC"
Cyclohexanecarboxylic acid__FEC,Nonanoic acid__FEC
"D-(+)-Ribono-1,4-lactone__FEC",N-Acetylglucosamine__FEC
"D-(+)-Ribono-1,4-lactone__FEC","(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile__FEC"
Thr-Leu__FEC,L-(+)-Lactic acid__FEC
Thr-Leu__FEC,Pimelic acid__FEC
"2',2,3,6'-Tetramethoxychalcone__FEC","beta-D-Galactopyranoside, methyl-, acetate__FEC"
D-(+)-Talofuranose__FEC,Decanoic acid__FEC
9H-Purin-6-ol__FEC,N-Methyl-alpha-aminoisobutyric acid__FEC
9H-Purin-6-ol__FEC,Dihydrouracil__FEC
D-(+)-Glucosamine__FEC,4-Hydroxybenzaldehyde__FEC
D-(+)-Glucosamine__FEC,Aconitic acid__FEC
D-(+)-Glucosamine__FEC,trans-Coniferryl alchool__FEC
Hydracrylic acid__FEC,5-Methyluridine__FEC
Hydracrylic acid__FEC,Dihydrouracil__FEC
Hydracrylic acid__FEC,L-(-)-Sorbofuranose__FEC
L-Threonine__FEC,Tyrosine__FEC
N-Acetyl-L-glutamic acid__FEC,Niacinamide__FEC
Undecanoic acid__FEC,Nonanoic acid__FEC
4-Hydroxybenzoic acid__FEC,L-Norvaline__FEC
4-Hydroxybenzoic acid__FEC,N-Methyl-alpha-aminoisobutyric acid__FEC
4-Hydroxybenzoic acid__FEC,1-Octanol__FEC
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC","2,5-Di-tert-butyl-4-hydroxyphenol__FEC"
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC",3-Methyl-2-furoic acid__FEC
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC",3-Undecene__FEC
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC",d-Erythrotetrofuranose__FEC
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC","Guanidine, N,N-dimethyl__FEC"
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)__FEC",Pimelic acid__FEC
Monolaurin__FEC,Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside__FEC
Monolaurin__FEC,"Xylonic acid, delta-lactone__FEC"
Monolaurin__FEC,Xylose__FEC
Serine__FEC,"2-Furanacetaldehyde, tetrahydro-alpha__FEC"
Serine__FEC,L-Leucine__FEC
Serine__FEC,Phenylalanine__FEC
Picolinic acid__FEC,Glycerol tricaprylate__FEC
Xanthine__FEC,Citric acid__FEC
Xanthine__FEC,Pentanoic acid__FEC
1-Monopalmitin__FEC,Pipecolic acid__FEC
Pipecolic acid__FEC,1-Octanol__FEC
Pyrrole-2-carboxylic acid__FEC,1-Octanol__FEC
Myristic acid__FEC,2'-Deoxyribolactone__FEC
Myristic acid__FEC,"Hexadecanoic acid, 4-hydroxybutyl ester__FEC"
"Inosose-2, myo__FEC",1-Methyl-4-hydroxy-1H-imidazol-2-amine__FEC
"Inosose-2, myo__FEC",trans-Coniferryl alchool__FEC
D-Glucose__FEC,Glycerol tricaprylate__FEC
Tetrahydrogeranyl formate__FEC,3-Undecene__FEC
Tetrahydrogeranyl formate__FEC,"Guanidine, N,N-dimethyl__FEC"
Tetrahydrogeranyl formate__FEC,Pentanoic acid__FEC
"2,5-Di-tert-butyl-4-hydroxyphenol__FEC",Pimelic acid__FEC
5-Methyluridine__FEC,12-Oxooctadecanoate__FEC
2-Ethylacetoacetate__FEC,"2,3,4-Trihydroxybutyric acid__FEC"
2-Ethylacetoacetate__FEC,8-Hydroxy-5-(hydroxymethyl)quinoline__FEC
2-Ethylacetoacetate__FEC,beta-D-(-)-Ribopyranose__FEC
2-Ethylacetoacetate__FEC,"Erythrono-1,4-lactone__FEC"
2-Ethylacetoacetate__FEC,"Propanoic acid, 2-oxo__FEC"
2-Ethylacetoacetate__FEC,Tricine__FEC
