ID,pls_74_12012022,pls_71_a_12012022,pls_106_13012022,pls_104_13012022,pls_102_13012022,pls_100_13012022,pls_103_14012022,pls_101_REP_14012022,pls_75_13012022,DSS_73_REP_190124,DSS_76_REP_190124,DSS_77_REP_190124,DSS_T0.7_180124
GROUP,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0,DSS_T0
2-Pentenoic acid,23.31473498,23.31473498,24.20182134,22.02643659,23.39212426,24.12766402,23.82125404,23.54182311,23.34967446,,,22.33727444,
2-Piperidinone,16.89063007,19.40057334,17.82452996,19.04700779,16.64258961,17.77986919,17.27927856,,18.18112051,22.50923693,24.05735318,,
"2-Propanone, bis(1-methylethyl)hydrazone",18.83070789,18.83070789,18.71327863,18.40034089,19.35357576,19.3778084,19.21629041,18.26504527,18.58988478,,21.57793522,,23.31473498
"2-Propenamide, 3-phenyl-N-2-propenyl-",19.16204886,16.57853019,16.68757869,21.25527282,,,17.33158696,19.04700779,17.44445169,,,21.52830388,
"2-Propenoic acid, 2-[(trimethylsilyl)oxy]-3-[4-[(trimethylsilyl)oxy]phenyl]-",,,10.10306138,5.783746064,10.29635512,9.639279878,,9.795177829,7.872950517,,,,
"2-Propenoic acid, 2,3,3-tris[(trimethylsilyl)oxy]-",,,,,,,,1.995000839,,,8.90021346,,
2-Pyrrolidinone,23.8678347,24.80567999,23.96446494,23.91498035,23.67404147,24.27524702,24.53851433,24.12766402,24.27524702,26.52611711,27.87116446,26.39889462,23.43092109
2-Trimethylsilyloxysebacic acid,,18.11054733,,,,,,13.83510942,,,,,
"2,2-Diallylpyrrolidine",16.53931804,17.24006299,15.91067079,17.54089682,16.3316947,15.17602716,16.13854448,14.84045374,18.2415052,,21.90291854,,
"2,2,4-Trimethyl-1,3-pentanediol diisobutyrate",,7.237424327,7.540516501,,8.90021346,9.545251342,7.540516501,3.666980928,6.985893041,11.24144082,11.10245822,13.15713936,16.04304197
"2,2,8,8-Tetramethyl-3,7-dioxa-4-aza-2,8-disilanon-4-ene",21.47387464,21.68227601,21.60767614,20.76419172,,,,,22.47089993,21.7246649,21.75448254,21.68227601,
"2,2'-Biphenyldiol",28.26473762,28.75102047,27.44710764,29.18307998,28.6402584,29.03771909,28.39886823,27.87116446,28.6402584,33.16415523,29.29902845,,
"2,3-Butanediol",19.13231529,20.43082443,19.1046924,21.17080503,21.85387841,15.82994994,18.40034089,12.4919175,15.12875857,,,19.58767135,
