Name,CID
"Glycine, N-[4-[(trimethylsilyl)oxy]benzoyl]-",
Glyoxime,135495951.0
Hydantoic acid,10020.0
Hydroquinidine,91503.0
Indole-5-carboxylic acid,74280.0
"Inosose-2, 1,3,4,5,6-pentakis-",
l-Histidine ethyl ester,
"L-Lysine, ethyl ester ",107469.0
"L-Tryptophan, N-acetyl-1",
Latanoprost lactone diol,10267038.0
"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate",597469.0
Methyl alpha-Lyxofuranoside,
Methyl aminoacetate,69221.0
Methyl isovanillate,4056967.0
Methyl-3-methoxy-5-methyl benzoate,13834966.0
Methylmalonic monoamide,19373131.0
Mirin,1206243.0
"Morpholine, 4-[2,3,4,6-tetrakis-O-(trimethylsilyl)-alpha-d-mannopyranosyl]-",
N-(Trimethylsilyl)hexanamide,18935209.0
"N-isobutyl-2-(trimethylsilyloxy]-4,5-dihydro-1H-imidazole-1-carboxamide",91729087.0
N-Methyl-N-(tetrahydro-2-furanylmethyl)-4-piperidinamine,25219599.0
N-Valerylglycine,4737557.0
"N,9-bis(Trimethylsilyl)-6-[(trimethylsilyl)oxy]-9H-purin-2-amine",530172.0
"N,N-Dimethyl-2-cyclohexyloxyethylamine",546952.0
"N,O-Bis(trimethylsilyl)carbamate",3015764.0
Naphthofluorescein,3124834.0
Nitrosothymol,75393.0
"O-Methyl-N,N'-diisopropylisourea ",383824.0
Octan-2-yl palmitate,19825814.0
"Octane, 1-propoxy-",520430.0
Octocrylene,22571.0
p-Hydroxydiisopropylbenzene,18935.0
"Pentanedioic acid, 2-[(trimethylsilyl)oxy]-",
"Pentanedioic acid, 3-methyl-3-[(trimethylsilyl)oxy]-",
"Pentenoic acid, 4-[(trimethylsilyl)oxy]-",
Pentylone,60208608.0
"Phenol, 3,5-bis(1,1-dimethylethyl)-",70825.0
Phthalazin-1-one,8394.0
"Pregn-16-en-20-one, 3,18-bis(acetyloxy)-14,15-epoxy-, (3beta,5alpha,14beta,15beta)-",
"Propanetriol, 2-methyl-",
"Propanoic acid, 2-methyl-",6590.0
"Propiophenone, 3',4'-dimethoxy-",15781.0
"Pyrazine, 3,6-dihydro-3,6-dimethyl-",
"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-",81705.0
Quazodine,19918.0
"Ribonic acid, 2,3,4,5-tetrakis-",
Sertraline carbamoyl glucuronide,71752187.0
"Stigmast-5-ene, 3beta-",
"Tacrine, N-trimethylsilyl-",
"Talonic acid, gamma-lactone",
Tetradecanenitrile,64678.0
"Thiazolo[4,5-f]quinoline, 2,9-dimethyl-",611805.0
"Thymine, 1,3-dimethyl-6-(trimethylsilyloxymethyl)-",553578.0
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",91733438.0
Trimethylsilyl 3-((trimethylsilyl)thio)propanoate,637748.0
Trimethylsilyl oct-2-enoate,533405.0
Trimidox,135409350.0
Trisaminol,6503.0
Xylazine,5707.0
Syringaldehyde,8655.0
2-Ethylacetoacetate,
d-Erythrotetrofuranose,
"2,5-Cyclohexadiene-1,4-dione, 2,6-bis(1,1-dimethylethyl)",
"Propanoic acid, 2-oxo",
2'-Deoxyribolactone,161815.0
"1,7-Dimethyl-4-(1-methylethyl)cyclodecane",543807.0
Tricine,79784.0
D-(-)-Fructofuranose,
Tripropylene glycol monomethyl ether,30111.0
11-Hydroxy-.DELTA.-9-tetrahydrocannabinol,644022.0
3-Pyridylcarbinol,7510.0
Butyl Succinate,78829.0
N-(2-hydroxyethyl)-succinimide,236334.0
"2-Propenoic acid, 2-hydroxy-3-(4-hydroxyphenyl)",
Cyclohexanemethanol,7507.0
"cis-4,5-Dihydroxy-o-dithiane",
"beta-d-Glucopyranose, 2-(acetylamino)-3,6-anhydro-2-deoxy",
"Gluconolactone (3R,4S,5R,6R)",
trans-Coniferryl alchool,
3-Undecene,5362751.0
"Butanoic acid, 3,4-dihydroxy-",150929.0
Methyl 2-acetamido-2-deoxy-3-O-methyl-alpha-D-galactopyranoside,
"N-Acetyl-D-galactosamine, (R,R,R,R)",
3-Deoxyhexitol,560035.0
"Azetidine, 1-acetyl-2-methyl",537224.0
D-(-)-Fructopyranose,
Deoxyribopyranose,
"Inosose-2, myo",
"2,5-Di-tert-butyl-4-hydroxyphenol",
L-Norvaline,65098.0
N-Acetyl glucosamine methoxime,
"Hexadecanoic acid, 4-hydroxybutyl ester",205694.0
"2',2,3,6'-Tetramethoxychalcone",24208768.0
Octadecyl octyl ether,87077647.0
"2-Pentenedioic acid, 2-hydroxy-",
D-Psicofuranose,11378852.0
"2-Butenoic acid, 2-hydroxy-",
"Trimethylsilyl (5-benzyl-3,6-dioxopiperazin-2-yl)acetate",91733438.0
"2-Allyl-1,4-dimethoxybenzene ",92534.0
Tetrahydrogeranyl formate,109224.0
"(4,4-Dimethyl-5-methylene-4,5-dihydro-3H-pyrrol-2-yl)-(4,4-dimethyl-5-methylene-pyrrolidin-2-ylidene)-acetonitrile",5376991.0
D-Allofuranose,21145993.0
"D-(+)-Ribono-1,4-lactone ",111064.0
beta-D-(-)-Ribopyranose,
"1H-Indole-2-carboxylic acid, 5-ethyl-1-(trimethylsilyl)",
3-O-methyl-beta-D-Glucopyranose,11869260.0
Decyl oleate,5363234.0
Xylazine,5707.0
L-(-)-Sorbofuranose,
"Guanidine, N,N-dimethyl",
beta-Arabinopyranose,
"Arabinofuranose, 1,2,3,5-tetrakis",
Ethyl alpha-D-glucopyranoside,9815668.0
"2-Butenoic acid, 2-methyl-, 2-methyl-2-propenyl ester",
D-(-)-Ribofuranose,
Hymexazole,24781.0
Monolaurin,14871.0
Phloretic acid,10394.0
4-Pyridinol,12290.0
9-Octadecenamide,1930.0
"Acetamide, N-(2-butyl)-N-methyl-",
"2,5-Dimethoxyphenol",5314498.0
"1,3-Dioxane, 2,2-dimethyl-5-hydroxy-",11029884.0
4-Hydroxy-5-(hydroxymethyl)oxolan-2-one,4635870.0
13-Docosenamide,8214.0
"3-Hydroxy-2,3-dihydromaltol",119838.0
8-Hydroxy-5-(hydroxymethyl)quinoline,
D-Mannopyranose,18950.0
"2,5-Dimethoxybenzhydrazide",140304.0
"Hexadecanoic acid, tetradecyl ester",78294.0
Monomethyl succinate,77487.0
"2-Furanacetaldehyde, tetrahydro-alpha",
"beta-D-Galactopyranoside, methyl-, acetate",
"Propane, 2-methyl",6360.0
"Xylonic acid, delta-lactone",
3-Methyl-2-furoic acid,78127.0
"Pentitol, 3-desoxy",
1-Methyl-4-hydroxy-1H-imidazol-2-amine,
"2,3,4,5-Tetrahydroxypentanoic acid-1,4-lactone",
