metabolite	pubchem_id
Benzo[b]fluorene, 5-amino-7-methyl-1,2,3,4,6,7,8,9-octahydro-11-thia-10-aza-	2928334
Benzoic acid, methyl ester	7150
Benzoic acid, pentadecyl ester	10268510
Benzophenone	3102
Benzyl alcohol	244
beta-Hydroxypyruvic acid	964
beta-Lyxopyranose	
5-Hydroxyhexanoic acid	170748
Boric acid	7628
Butylated Hydroxytoluene	
Cadaverine	273
Carfentrazone-ethyl	86222
Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)-	
Cholest-22-ene-21-ol, 3,5-dehydro-6-methoxy-, pivalate	5365019
Cholest-7-en-3-ol, (3beta,5alpha)-	
Cholesta-3,5-diene 	92835
Cholesterol	5997
Cinnamic acid	444539
Citric acid	311
Cyclo-(l-leucyl-l-phenylalanyl)	7076347
Cyclo(L-prolyl-L-valine)	
cyclobutanecarboxylic acid	19494
Cyclobutanol	76218
Cyclopentaneacetic acid, 3-oxo-2-pentyl-	107126
Cyclopentanone, 2,2,4-trimethyl-	119632
D-(-)-Citramalic acid	439766
D-(-)-Fructofuranose, pentakis	
D-(-)-Lyxose, tetrakis	
D-(-)-Ribofuranose, tetrakis	
D-(+)-Ribono-1,4-lactone (R,S,R)-	
D-(+)-Talofuranose, pentakis	
D-Erythro-Pentofuranose, 2-deoxy-1,3-bis-O-	
D-Fructose	2723872
D-Isoleucine, N-acetyl-	21140535
D-Leucylglycylglycine	87731
D-Mannose	18950
D-Proline	8988
D-Ribose	10975657
D-Threitol	169019
D-Xylofuranose, 1,2,3,5-tetrakis-O-	
Decanoic acid	2969
Dehydronorketamine	162835
Delorazepam	17925
Deoxycholic Acid	222528
Desmosterol	439577
Dihydrouracil	649
Dimethyl fumarate	637568
Dimethyl hexopyranosiduronate, alpha-D-	
Dinoseb	6950
Diphenyl ether	7583
DL-Glyceraldehyde	751
DL-Ornithine	389
DL-Phenylalanine	994
DL-Proline, 5-oxo-	499
Dobutamine	36811
Doconexent	445580
Dodecane, 4,6-dimethyl-	545627
Dodecanoic acid	3893
Dodecylcyclohexane	15714
Eicosapentaenoic acid	5282847
Erythritol	222285
Erythrono-1,4-lactone, (Z)-	
Ethanamine, N,N-diethyl-2,2-dimethyl-2-[(3,5-dimethoxy)phenyl]-	559636
Ethanolamine	700
Ethanone, 1-(2,5-dimethoxyphenyl)-	70991
