n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
ENSMUSG00000000093-B,"5-Nonanol, tert-butyldimethylsilyl ether",0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.9710083124552245,0.0012485929031976,6,0.2323958068620263,0.4673211624354089,12,3,True,+,0.7414135489759237
ENSMUSG00000000093-B,6-Methyluracil,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.1159542071304896,0.826848213385815,6,0.345072561704221,0.2719744909858301,12,3,True,+,0.6205596981047168
ENSMUSG00000000093-B,6-Nitroveratryl alcohol,,,1,,,1,0.5,0.6666666666666667,3,0.6668859288553503,0.2188939813132315,5,1,True,+,0.5718526761544582
ENSMUSG00000000093-B,6-Oxoheptanoic acid,0.8660254037844387,0.3333333333333332,3,0.5,0.6666666666666667,3,0.7714285714285715,0.0723965014577259,6,0.4154955334805926,0.1791908763667568,12,3,True,+,0.5551597317372179
ENSMUSG00000000093-B,7-Hydroxy-4-(methoxymethyl)coumarin,,,1,,,0,0.5,0.6666666666666667,3,0.1999999999999999,0.8,4,1,True,+,0.8776746709950479
ENSMUSG00000000093-B,8-Methylnonanoic acid,0.5,0.6666666666666667,3,0.5,0.6666666666666667,3,0.2898855178262242,0.5773517870348748,6,0.1177506212155141,0.7155137613197837,12,3,True,+,0.8336074245806808
ENSMUSG00000000093-B,"9Z-Octadecenoic acid, (2S)-3-[(hydroxymercaptophosphinyl)oxy]-2-methoxypropyl ester",,,2,,,0,0.3,0.6238376647810728,5,0.3243374865704013,0.4778854797399313,7,1,True,+,0.7493082360238476
ENSMUSG00000000093-B,Adenine,,,1,0.5,0.6666666666666667,3,0.6571428571428573,0.1561749271137023,6,0.2857156055296304,0.423567783826546,10,2,True,+,0.7101461741546897
ENSMUSG00000000093-B,alpha-Hydroxyisobutyric acid,,,0,,,2,0.4285714285714286,0.3965014577259474,6,0.5714285714285715,0.1389599571607066,8,1,True,+,0.5131824136279581
ENSMUSG00000000093-B,Azelaic acid,1.0,0.0,3,0.5,0.6666666666666667,3,0.0579771035652448,0.9131317851623264,6,0.3268897842699347,0.2996866888427383,12,3,True,+,0.6363733671834657
