node,BiBC
3-Hydroxybutyric acid__PLS,0.0
"Methyl (3,4-dimethoxyphenyl)(hydroxy)acetate__PLS",0.0
"1-Piperazineethanol, 4-dibenzo[b,f][1,4]thiazepin-11-yl-__PLS",0.0
Lactic Acid__PLS,0.0
Mirin__PLS,0.0
"9,12-Octadecadienoic acid__PLS",0.0
"1,1'-Biphenyl, 3,4-diethyl-__PLS",0.0
4-Cumylphenol__PLS,0.0
"1,2-Benzenedicarboxylic acid__PLS",0.0
"(2S,3R)-3-[(4E,7E)-Nona-4,7-dienoyl]-N,N-bis(trimethylsilyl)oxirane-2-carboxamide__PLS",0.0
"Acetic acid, bis[(trimethylsilyl)oxyl]-__PLS",0.0
"Benzenemethanamine, 2,3-dimethoxy-__PLS",0.0
Benzyl alcohol__PLS,0.0
Boric acid__PLS,0.0
2-Heptenoic acid__PLS,0.0
"Acetin, bis-1,3-trimethylsilyl ether__PLS",0.0
Dinoseb__PLS,0.0
"DL-Proline, 5-oxo-__PLS",0.0
Hydantoic acid__PLS,0.0
Isopropyl palmitate__PLS,0.0
Methyl aminoacetate__PLS,0.0
"N,N-Diethyl-2-aminoethanol__PLS",0.0
Niclosamide__PLS,0.0
Pimelic acid__PLS,0.0
"Propanetriol, 2-methyl-__PLS",0.0
"1,2,3,10,11,11a-Hexahydro-6,7,8-trimethoxy-3-oxo-5H-dibenzo(a,d)cycloheptene__PLS",0.0
3'-Hydroxyacetophenone__PLS,0.0
"3beta,4beta-Bis(trimethylsiloxy)cholest-5-ene__PLS",0.0
5-Aminovaleric acid__PLS,0.0
"6,7,4'-Trihydroxyisoflavone__PLS",0.0
"Cetaben, N,O-bis(trimethylsilyl)-__PLS",0.0
D-Fructose__PLS,0.0
Desmosterol__PLS,0.0
Propylamine__PLS,0.0
"1,3-Cyclohexanebis(methylamine)__PLS",0.0
DL-Phenylalanine__PLS,0.0
"1,3,5-Benzetriol__PLS",0.0
Cyclobutanol__PLS,0.0
Deoxycholic Acid__PLS,0.0
DL-Glyceraldehyde__PLS,0.0
Guanabenz__PLS,0.0
Nitrosothymol__PLS,0.0
"1,4-diazabicyclo[4.3.0]nonan-2,5-dione, 3-methyl__PLS",0.0
"1,5-Anhydroglucitol__PLS",0.0
Malic acid__PLS,0.0
Phosalone__PLS,0.0
"Ethanone, 1-(2,5-dimethoxyphenyl)-__PLS",0.0
Heptadecanoic acid__PLS,0.0
p-Toluic acid__PLS,0.0
Palmitelaidic acid__PLS,0.0
"Pyrimidine, 5-methyl-2,4-bis[(trimethylsilyl)oxy]-__PLS",0.0
4-Hydroxyphenyllactic acid__PLS,0.0
Dodecanoic acid__PLS,0.0
13-Docosenamide__PLS,0.0
"7-Acetyl-6-ethyl-1,1,4,4-tetramethyltetralin__PLS",0.0
"2-(2,5-Dimethoxy-phenyl)-propionaldehyde__PLS",0.0
3-Nonen-1-ol__PLS,0.0
4-Hydroxybutanoic acid__PLS,0.0
"2-Allyl-1,4-dimethoxybenzene__PLS",0.0
"3-Hydroxy-2,3-dihydromaltol__PLS",0.0
4-Hydroxybenzeneacetic acid__PLS,0.0
Aceturic acid__PLS,0.0
Arachidonic acid__PLS,0.0
Azatadine__PLS,0.0
cis-4-Trimethylsilyloxy-cyclohexyl(trimethylsilyl)carboxylate__PLS,0.0
Glucopyranose__PLS,0.0
"2-Acetyl-3-(1-methyl-2-pyrrolyl)-1,4-benzenediol__PLS",0.0
Norketamine__PLS,0.0
beta-Lyxopyranose__PLS,0.0
2-Amino-4-methylphenol__PLS,0.0
"2-Amino-4,6-dihydroxypyrimidine__PLS",0.0
12-Hydroxyoctadecanoic acid__PLS,0.0
2-Aminoadipic acid__PLS,0.0
Adipoyl-L-carnitine__PLS,0.0
Allylescaline__PLS,0.0
cyclobutanecarboxylic acid__PLS,0.0
Suberic acid__PLS,0.0
2-Hexen-1-ol__PLS,0.0
D-Ribose__PLS,0.0
Pyrrole-2-carboxylic acid__PLS,0.0
2-Hydroxy-3-methylbutyric acid__PLS,0.0
2-Hydroxybutyric acid__PLS,0.0
"Propanoic acid, 2-methyl-__PLS",0.0
Arsenous acid__PLS,0.0
2-Isopropyl-5-methyl-1-heptanol__PLS,0.0
"3-Buten-2-one, 4-(4-methoxyphenyl)-__PLS",0.0
3-Hexenedinitrile__PLS,0.0
2-Methylglutaconic acid__PLS,0.0
"2,6-Dimethyl-N-[3-(trimethylsilyl)-1,3-thiazinan-2-ylidene]aniline__PLS",0.0
5-(2-Aminopropyl)-2-methylphenol__PLS,0.0
N-Acetyl-L-glutamic acid__PLS,0.0
"2-Propenamide, 3-phenyl-N-2-propenyl-__PLS",0.0
"Cephalotaxine, 3-deoxy-3,11-epoxy-, (3alpha,11alpha)-__PLS",0.0
2-Pyrrolidinone__PLS,0.0
L-Norleucine__PLS,0.0
"2,2-Diallylpyrrolidine__PLS",0.0
2-Furoic acid__PLS,0.0
Trimidox__PLS,0.0
"2,6-Bis[2-[2-S-thiosulfuroethylamino]ethoxy]pyrazine__PLS",0.0
Acetoacetic acid__PLS,0.0
Arabinaric acid__PLS,0.0
Indole-5-carboxylic acid__PLS,0.0
"Pentenoic acid, 4-[(trimethylsilyl)oxy]-__PLS",0.0
"2,3,4-Trihydroxybutyric acid tetrakis__PLS",0.0
"D-(+)-Ribono-1,4-lactone (R,S,R)-__PLS",0.0
Glyceric acid__PLS,0.0
"2,4-Imidazolidinedione, 5,5-dimethyl-__PLS",0.0
"Cholesta-3,5-diene__PLS",0.0
Dimethyl fumarate__PLS,0.0
Ribitol__PLS,0.0
"Phenol, 3,5-bis(1,1-dimethylethyl)-__PLS",0.0
"2,5-di-tert-Butyl-1,4-benzoquinone__PLS",0.0
Niacin__PLS,0.0
Palmitic Acid__PLS,0.0
"2,5-Dimethoxymandelic acid__PLS",0.0
Ornithine__PLS,0.0
"2,5-Dimethoxybenzonitrile__PLS",0.0
"Dodecane, 4,6-dimethyl-__PLS",0.0
Indole-3-lactic acid__PLS,0.0
"N,O-Bis(trimethylsilyl)carbamate__PLS",0.0
Sertraline carbamoyl glucuronide__PLS,0.0
"Acetamide, N,N-diethyl-__PLS",0.0
Glycolic acid__PLS,0.0
"3-(3-Cyclohexylaminopropionylamino)-5-ethylthiophene-2-carboxylic acid, ethyl ester__PLS",0.0
"N-isobutyl-2-(trimethylsilyloxy]-4,5-dihydro-1H-imidazole-1-carboxamide__PLS",0.0
3-Aminobutanoic acid__PLS,0.0
Tributyl acetylcitrate__PLS,0.0
"3-Buten-2-one, 3-trimethylsilyloxy-__PLS",0.0
"7-Isoquinolinol, 1,2,3,4-tetrahydro-1-[(4-hydroxyphenyl)methyl]-6-methoxy-__PLS",0.0
Cinnamic acid__PLS,0.0
3-Methoxysalicylic acid__PLS,0.0
3-Indoleacetic acid__PLS,0.0
Ketamine__PLS,0.0
L-Tryptophan__PLS,0.0
Niacinamide__PLS,0.0
"Tacrine, N-trimethylsilyl-__PLS",0.0
