n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
"(2,5-Dimethoxyphenyl)acetone",5-Oxohexanoic Acid,0.5,0.6666666666666667,3,0.2051956704170308,0.7405819415910722,5,0.5217939320872036,0.2883432338003937,6,0.121279015278115,0.6796015507472342,14,3,True,+,0.75474416908086
"(2,5-Dimethoxyphenyl)acetone","6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",0.8660254037844387,0.3333333333333332,3,0.9746794344808964,0.0048182304681985,5,1.0,0.0,4,0.7540118265560999,0.0046126865610137,12,3,True,+,0.04820880792281076
"(2,5-Dimethoxyphenyl)acetone",Aceturic acid,0.5,0.6666666666666667,3,0.3999999999999999,0.6,4,0.4285714285714286,0.3965014577259474,6,0.0220385674931129,0.9430299576024326,13,3,True,+,0.9557585758219387
"(2,5-Dimethoxyphenyl)acetone",Adenine,,,0,0.8999999999999998,0.0373860734684987,5,0.6,0.2079999999999998,6,0.6982456140350878,0.0115522338409009,12,2,True,+,0.0790663509075465
"(2,5-Dimethoxyphenyl)acetone",Adipoyl-L-carnitine,,,0,0.5,0.6666666666666667,3,1.0,0.0,3,0.1441499940312894,0.7578179356488596,7,2,True,+,0.8159493128648587
"(2,5-Dimethoxyphenyl)acetone",alpha-Hydroxyisobutyric acid,,,0,1.0,0.0,3,0.6,0.2079999999999998,6,0.2833333333333333,0.4600303289657199,9,2,True,+,0.5901268144337166
"(2,5-Dimethoxyphenyl)acetone","Benzene, 1,4-dimethoxy",0.8660254037844387,0.3333333333333332,3,0.2051956704170308,0.7405819415910722,5,0.5428571428571429,0.2657026239067055,6,0.374313600850462,0.1873261310956254,14,3,True,+,0.35053963171874347
"(2,5-Dimethoxyphenyl)acetone",Benzophenone,,,0,0.6668859288553501,0.2188939813132316,5,0.6,0.2079999999999998,6,0.6722049569381584,0.0118386143778775,13,2,True,+,0.07996846919948475
"(2,5-Dimethoxyphenyl)acetone",Butachlor ESA,,,0,0.7999999999999999,0.2,4,0.3999999999999999,0.6,4,0.7538028741632801,0.0117947862899836,10,2,True,+,0.07996288118557192
"(2,5-Dimethoxyphenyl)acetone",Curcumin,0.5,0.6666666666666667,3,0.4999999999999999,0.3910022189557705,5,0.8857142857142858,0.0188454810495626,6,0.5834286199273554,0.0285113811481908,14,3,True,+,0.12919581649397038
"(2,5-Dimethoxyphenyl)acetone",Cycloheptanol,0.5,0.6666666666666667,3,0.8999999999999998,0.0373860734684987,5,0.8406680016960503,0.0360575728451592,6,0.6802650220599727,0.0074226336597992,14,3,True,+,0.061671303854984996
"(2,5-Dimethoxyphenyl)acetone","Cyclopentaneacetic acid, 3-oxo-2-pentyl-, methyl ester",1.0,0.0,3,0.4999999999999999,0.3910022189557705,5,0.1449427589131121,0.7841083696021083,6,0.3454754554524322,0.2263452364583301,14,3,True,+,0.3903130565816555
"(2,5-Dimethoxyphenyl)acetone","Cytosine, N-(tert-butyldimethylsilyl)-",0.8660254037844387,0.3333333333333332,3,0.8999999999999998,0.0373860734684987,5,0.5428571428571429,0.2657026239067055,6,0.8300240974448212,0.0002388581575354,14,3,True,+,0.009054949402228703
"(2,5-Dimethoxyphenyl)acetone",Diethylamine,1.0,0.0,3,0.3999999999999999,0.5046315754686911,5,0.753702346348183,0.0835232813732598,6,0.601984930380462,0.0227368080042771,14,3,True,+,0.11424803677128194
"(2,5-Dimethoxyphenyl)acetone","Dodecanoic acid, 1-methylethyl ester",0.5,0.6666666666666667,3,0.8999999999999998,0.0373860734684987,5,0.5428571428571429,0.2657026239067055,6,0.8048516468456727,0.0005161665131039,14,3,True,+,0.013671341823101242
"(2,5-Dimethoxyphenyl)acetone","D-Streptamine, O-6-amino-6-deoxy-alpha-D-glucopyranosyl-(1-4)-O-(3-deoxy-4-C-methyl-3-(methylamino)-beta-L-arabinopyranosyl-(1-6))-2-deoxy-",0.5,0.6666666666666667,3,0.7999999999999999,0.2,4,0.5507824838698261,0.2573693316225744,6,0.841380110706788,0.0003116685697049,13,3,True,+,0.010378361194744577
"(2,5-Dimethoxyphenyl)acetone",Frangulin,0.5,0.6666666666666667,3,0.7999999999999999,0.2,4,0.948683298050514,0.0513167019494861,4,0.8287671232876713,0.0016163556505104,11,3,True,+,0.027294529696610115
"(2,5-Dimethoxyphenyl)acetone",Glycolic acid,-0.5,0.6666666666666667,3,-0.3999999999999999,0.5046315754686911,5,-0.5797710356524484,0.227783956715016,6,-0.0165563317309472,0.9552019613786652,14,3,True,-,0.965059695532671
"(2,5-Dimethoxyphenyl)acetone",Guanosine,,,0,-0.3999999999999999,0.6,4,-0.3999999999999999,0.6,4,-0.4453781512605043,0.2295987130609786,9,2,True,-,0.3927707247984093
"(2,5-Dimethoxyphenyl)acetone",Heptylamine,,,0,0.7999999999999999,0.2,4,0.0999999999999999,0.8728885715695383,5,0.4923570423280564,0.1482745896416735,10,2,True,+,0.3082482766799968
"(2,5-Dimethoxyphenyl)acetone",Hexacosanoic acid,,,0,0.7999999999999999,0.2,4,0.8720815992723809,0.0538542177275421,5,0.8830368134148922,0.0003156979984278,11,2,True,+,0.010389822637619598
"(2,5-Dimethoxyphenyl)acetone",Isobutanol,0.5,0.6666666666666667,3,0.316227766016838,0.683772233983162,4,0.3714285714285715,0.4684781341107871,6,0.5820695192102697,0.0368810747553254,13,3,True,+,0.14794514116062585
"(2,5-Dimethoxyphenyl)acetone",Leucylglycine,,,0,-0.7999999999999999,0.1040880386618278,5,-0.7714285714285715,0.0723965014577259,6,-0.4483369397365416,0.1437981174912373,12,2,True,-,0.3045275576881789
"(2,5-Dimethoxyphenyl)acetone",L-Glutamine,0.5,0.6666666666666667,3,0.8999999999999998,0.0373860734684987,5,0.6957252427829382,0.1247893374402868,6,0.8022143524001136,0.0005560477530492,14,3,True,+,0.01443111853047823
"(2,5-Dimethoxyphenyl)acetone",L-Leucine,0.5,0.6666666666666667,3,0.8720815992723809,0.0538542177275421,5,0.0857142857142857,0.8717434402332361,6,0.4474044223183038,0.108695120314471,14,3,True,+,0.2612058833343675
"(2,5-Dimethoxyphenyl)acetone","l-Norvaline, n-propargyloxycarbonyl-, isohexyl ester",,,0,-0.3999999999999999,0.6,4,-0.0999999999999999,0.8728885715695383,5,-0.3841463414634147,0.2730908459075927,10,2,True,-,0.43227273889670936
