n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,edge_dir,Pooled FDR
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Urea,0.5,0.666666667,3,0.718184846,0.171795305,5,0.782623792,0.117613761,5,0.730558374,0.004565315,13,3,TRUE,+,1,0.048027375
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",Heptanoic acid,0.5,0.666666667,3,0.564288094,0.321723336,5,0.970588235,0.001284857,6,0.763596475,0.001481236,14,3,TRUE,+,1,0.025918283
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",Isopropylamine,-1,0,3,-0.4,0.504631575,5,-0.927633657,0.007665844,6,-0.70543025,0.004825121,14,3,TRUE,-,-1,0.049234571
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",Nonanoic acid,1,0,3,0.564288094,0.321723336,5,0.526315789,0.362245481,5,0.741623005,0.003710927,13,3,TRUE,+,1,0.043234395
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","2(5H)-Furanone, 4-(hydroxymethyl)",,,0,0.615587011,0.26899777,5,0.898645105,0.014888622,6,0.833104241,0.000405393,13,2,TRUE,+,1,0.011786891
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","2,4-Imidazolidinedione, 5,5-dimethyl",,,0,-0.7,0.188120404,5,-0.81167945,0.049857585,6,-0.78453338,0.001495149,13,2,TRUE,-,-1,0.026043882
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","2,5-Dimethoxybenzhydrazide",,,0,0.7,0.188120404,5,0.771428571,0.072396501,6,0.770175439,0.003382309,12,2,TRUE,+,1,0.041453882
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","2',5'-Dimethoxypropiophenone",,,0,0.7,0.188120404,5,0.942857143,0.004804665,6,0.767217631,0.002206287,13,2,TRUE,+,1,0.032814274
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",2-Amino-4-methylbenzophenone,,,0,1,1.40E-24,5,0.9,0.037386073,5,0.840631762,0.000615569,12,2,TRUE,+,1,0.015248309
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",6-Methyluracil,,,0,-0.7,0.188120404,5,-0.81167945,0.049857585,6,-0.851615485,0.000220473,13,2,TRUE,-,-1,0.008568544
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Aconitic acid,,,0,0.718184846,0.171795305,5,0.81167945,0.049857585,6,0.741715537,0.003704347,13,2,TRUE,+,1,0.043234395
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Cyclooctylamine,,,0,0.615587011,0.26899777,5,0.828571429,0.041562682,6,0.74724042,0.003327547,13,2,TRUE,+,1,0.041176403
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Hydracrylic acid,,,0,0.1,0.872888572,5,1,0,6,0.754820937,0.002859673,13,2,TRUE,+,1,0.037203596
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","Hymexazole, tert-butyldimethylsilyl ether",,,0,-0.7,0.188120404,5,-0.828571429,0.041562682,6,-0.840220386,0.000323647,13,2,TRUE,-,-1,0.010517183
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","Kojic acid, bis(tert-butyldimethylsilyl) ether",,,0,-0.9,0.037386073,5,-0.771428571,0.072396501,6,-0.807162534,0.000851026,13,2,TRUE,-,-1,0.018333812
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Methylthiouracil,,,0,-0.6,0.28475698,5,-0.828571429,0.041562682,6,-0.812610703,0.001316101,12,2,TRUE,-,-1,0.024018786
1-(Cyclohexylmethyl)-4-piperidinylamine,2-Decanol,,,0,0.866025404,0.333333333,3,0.8,0.2,4,0.945610858,0.000386003,8,2,TRUE,+,1,0.011482096
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,"2,2'-Bipyridine",0.5,0.666666667,3,0.872081599,0.053854218,5,0.646843159,0.165056814,6,0.75839116,0.001667399,14,3,TRUE,+,1,0.027732602
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,2-Decanol,,,0,0.872081599,0.053854218,5,0.447213595,0.450184856,5,0.834825351,0.000728631,12,2,TRUE,+,1,0.016771517
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,"2'-Hydroxy-2,4,4',5-tetramethoxychalcone",0.866025404,0.333333333,3,0.8,0.2,4,0.462030828,0.356269193,6,0.764705882,0.002328181,13,3,TRUE,+,1,0.034025533
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,2-Pentadecanone,0.866025404,0.333333333,3,0.9,0.037386073,5,0.35483871,0.490080897,6,0.753916875,0.001841856,14,3,TRUE,+,1,0.029376841
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,"6-Aminocaproic acid, N-(tert.-butyldimethylsilyl)",0.866025404,0.333333333,3,0.718184846,0.171795305,5,1,0,4,0.813510661,0.001286875,12,3,TRUE,+,1,0.023804681
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Adenine,,,0,0.9,0.037386073,5,0.8196886,0.045837141,6,0.922160004,1.97E-05,12,2,TRUE,+,1,0.002034301
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Butachlor ESA,,,0,1,0,4,0.316227766,0.683772234,4,0.884162778,0.000683419,10,2,TRUE,+,1,0.016148322
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,"Cytosine, N-(tert-butyldimethylsilyl)-",0.866025404,0.333333333,3,0.9,0.037386073,5,0.51610023,0.294583741,6,0.748896285,0.002054537,14,3,TRUE,+,1,0.031279117
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,"Dodecanoic acid, 1-methylethyl ester",1,0,3,0.9,0.037386073,5,0.51610023,0.294583741,6,0.746959337,0.002141607,14,3,TRUE,+,1,0.032037117
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Frangulin,1,0,3,1,0,4,0.388888889,0.611111111,4,0.790823405,0.003752497,11,3,TRUE,+,1,0.043445827
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Heptylamine,,,0,1,0,4,0.615587011,0.26899777,5,0.864619477,0.001244071,10,2,TRUE,+,1,0.023184689
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Hexacosanoic acid,,,0,1,0,4,0.526315789,0.362245481,5,0.801843318,0.002992002,11,2,TRUE,+,1,0.038248173
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Isopropyl palmitate,0.866025404,0.333333333,3,0.9,0.037386073,5,0.431228773,0.393252116,6,0.751950794,0.001922953,14,3,TRUE,+,1,0.030166567
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,L-Glutamine,1,0,3,0.9,0.037386073,5,0.092406166,0.861785275,6,0.758624914,0.001658659,14,3,TRUE,+,1,0.027656152
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,L-Leucine,1,0,3,0.974679434,0.00481823,5,0.698253252,0.122839463,6,0.817168847,0.000359147,14,3,TRUE,+,1,0.011121484
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,L-Tryptophan,0.866025404,0.333333333,3,0.9,0.037386073,5,0.941123948,0.005097541,6,0.88084851,3.18E-05,14,3,TRUE,+,1,0.002732561
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,N-Methyl-1-[(trimethylsilyl)oxy]-1-{4-[(trimethylsilyl)oxy]phenyl}propan-2-amine,0.5,0.666666667,3,1,0,4,0.25819889,0.74180111,4,0.836836892,0.001316871,11,3,TRUE,+,1,0.024018786
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Vanillylmandelic acid,,,0,0.9,0.037386073,5,0.718184846,0.171795305,5,0.847098762,0.001979828,10,2,TRUE,+,1,0.030685355
1-(tert-Butyldimethylsilyl)-4-methyl-1H-pyrazole,Yangonin,1,0,3,1,0,4,0.739249324,0.093122034,6,0.92490374,6.02E-06,13,3,TRUE,+,1,0.000949254
"1,2-Cyclohexanediol, (Z)",2-Butoxyethanol,,,0,0.564288094,0.321723336,5,0.579771036,0.227783957,6,0.812512539,0.00073707,13,2,TRUE,+,1,0.016815623
"1,2-Cyclohexanediol, (Z)",2-Furoic acid,,,0,0.564288094,0.321723336,5,1,0,4,0.861787755,0.000648095,11,2,TRUE,+,1,0.015661726
"1,2-Cyclohexanediol, (Z)","2'-Hydroxy-2,4,4',5-tetramethoxychalcone",,,0,0.737864787,0.262135213,4,0.779411765,0.067621934,6,0.843421711,0.000566334,12,2,TRUE,+,1,0.01464893
"1,2-Cyclohexanediol, (Z)",2-Hydroxy-3-methylbutyric acid,,,0,0.564288094,0.321723336,5,0.753702346,0.083523281,6,0.852858329,0.000422027,12,2,TRUE,+,1,0.012087737
"1,2-Cyclohexanediol, (Z)","2-Methylcyclohexanol, (Z)",,,0,0.657894737,0.227470217,5,0.661764706,0.152257086,6,0.726256983,0.004935543,13,2,TRUE,+,1,0.049897373
"1,2-Cyclohexanediol, (Z)",2-Pentadecanone,,,0,0.564288094,0.321723336,5,0.123208221,0.816122836,6,0.801675978,0.000981863,13,2,TRUE,+,1,0.019723974
"1,2-Cyclohexanediol, (Z)","3,5-Dimethylphenol",,,0,0.564288094,0.321723336,5,0.7,0.188120404,5,0.851611373,0.000439247,12,2,TRUE,+,1,0.012443714
"1,2-Cyclohexanediol, (Z)",5-Hydroxy-7-methoxy-2-methyl-3-phenyl-4-chromenone,,,0,-0.948683298,0.051316702,4,-0.514705882,0.29611967,6,-0.817963572,0.003832195,10,2,TRUE,-,-1,0.043778727
"1,2-Cyclohexanediol, (Z)","5-Nonanol, tert-butyldimethylsilyl ether",,,0,0.564288094,0.321723336,5,0.597081434,0.210809477,6,0.795556299,0.001145935,13,2,TRUE,+,1,0.021956385
"1,2-Cyclohexanediol, (Z)","Benzenesulfonamide, N-butyl",,,0,0.564288094,0.321723336,5,0.647058824,0.164868716,6,0.818327583,0.000627227,13,2,TRUE,+,1,0.015331598
"1,2-Cyclohexanediol, (Z)",Butachlor ESA,,,0,0.6,0.4,4,0.4,0.6,4,0.882384097,0.001634681,9,2,TRUE,+,1,0.027426751
"1,2-Cyclohexanediol, (Z)","Cytosine, N-(tert-butyldimethylsilyl)-",,,0,0.564288094,0.321723336,5,0.695725243,0.124789337,6,0.758345036,0.002660397,13,2,TRUE,+,1,0.036194421
"1,2-Cyclohexanediol, (Z)","Dodecanoic acid, 1-methylethyl ester",,,0,0.564288094,0.321723336,5,0.695725243,0.124789337,6,0.791678884,0.00126054,13,2,TRUE,+,1,0.023435138
"1,2-Cyclohexanediol, (Z)",Isopropyl palmitate,,,0,0.564288094,0.321723336,5,0.647058824,0.164868716,6,0.778866307,0.00170445,13,2,TRUE,+,1,0.028047273
"1,2-Cyclohexanediol, (Z)",L-Alanine,,,0,0.657894737,0.227470217,5,0.720588235,0.106199433,6,0.902650416,2.40E-05,13,2,TRUE,+,1,0.002294272
"1,2-Cyclohexanediol, (Z)",L-Glutamine,,,0,0.564288094,0.321723336,5,0.25,0.6328125,6,0.777161789,0.001771681,13,2,TRUE,+,1,0.02872574
"1,2-Cyclohexanediol, (Z)",N-Caffeoyl-O-methyltyramine,,,0,0.666885929,0.218893981,5,0.191176471,0.716728895,6,0.781934559,0.002657417,12,2,TRUE,+,1,0.036194421
"1,2-Cyclohexanediol, (Z)",Norketamine,,,0,0.564288094,0.321723336,5,0.388102932,0.447074388,6,0.740586494,0.003785251,13,2,TRUE,+,1,0.043694222
1-Octadecanol,"2,2'-Bipyridine",,,0,1,0,3,0.974679434,0.00481823,5,0.932806046,0.000242368,9,2,TRUE,+,1,0.009071556
