,DSS_73_090224,DSS_76_090224,DSS_B896_090224,DSS_T0.7_090224,DSS_T0.8_090224,3297_VECPAC_190224,3679_VECPAC_190224,3681_VECPAC_190224,935_CTR_LPS_CSF_070224,936_CTR_LPS_CSF_070224_2,937_CTR_LPS_CSF_070224,941_CTR_LPS_CSF_070224,942_CTR_LPS_CSF_070224,943_CTR_LPS_CSF_070224
"(2,5-Dimethoxyphenyl)acetone",16.548397760488008,13.783405868376022,15.564115838261685,16.027442504336406,15.39656988471546,16.649394651426014,16.38716185479659,17.504940337930993,14.22183651652919,15.39656988471546,14.77794148459306,15.794924887690241,16.10708189958663,15.684213392506413
"(2R)-Pyrrolidine-1,2-dicarboxylic acid, bis(tert-butyldimethylsilyl) ester",18.299161313868307,19.044780457273152,21.03415127487163,19.36205780789064,19.044780457273152,20.349076790547734,19.511528355008892,19.977070348849676,17.848056725654924,18.697253042531315,18.145516841146943,17.917954706335404,19.90628699179653,19.90628699179653
(4-Fluorophenyl)phenylmethanol,,,,,,,,17.313901308851932,,,18.572420897099427,,,
"(9H-fluoren-9-yl)methanol, O-methoxycarbonyl-",25.248245599251963,27.706069701939082,27.439594575526513,28.328763097489578,28.220824986859178,30.573336989554633,28.328763097489578,26.50296267227539,27.60464096162688,28.139723574834868,27.21934825959647,25.491807134917025,24.059471680211118,27.21934825959647
"3,4,5-Trimethoxyamphetamine",21.89766089201072,6.637474595960846,23.77270330773383,24.059471680211118,23.584213588252027,,17.044039991717742,14.44344997303848,24.69908251133796,25.404802973180967,23.99000942053065,17.044039991717742,11.432133533201073,24.361767611067528
Oxypeucedanin,,,,,,,,,,,,,,
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",,23.953297105679837,26.8471068534773,26.124112340107267,25.96252317418443,23.484143310267747,,23.99000942053065,,24.491789288861316,23.920579189958964,,27.084943944408092,27.60464096162688
"1-(2,4-Dimethoxyphenyl)-propan-2-one",16.78619280811605,18.145516841146943,18.47862430573336,18.76637914203081,17.917954706335404,15.794924887690241,18.964499198463745,16.894290018224726,18.145516841146943,,18.090663406345644,18.299161313868307,18.090663406345644,18.090663406345644
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",25.313618060977973,24.791158461587774,24.304911461865277,25.58298494600797,24.69908251133796,25.248245599251963,25.491807134917025,25.741137750046672,25.96252317418443,25.6563659490016,25.313618060977973,25.050447238005177,25.491807134917025,25.491807134917025
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",16.954735439681233,21.42405899916408,20.159049269761585,21.03415127487163,21.89766089201072,,21.278227382097498,22.176682287677355,18.994720196960333,22.336032499821254,20.060474603176946,17.67570612907752,21.9535073039897,22.176682287677355
