n1,n2,VECPAC_r,VECPAC_p,VECPAC_n,DSS_r,DSS_p,DSS_n,LPS_r,LPS_p,LPS_n,Pooled_r,Pooled_p,Pooled_n,r Count,Consistent,Sign,Pooled FDR
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ","Erythrono-1,4-lactone",,,0,1.0,0.0,4,1.0,0.0,4,0.8292837093139818,0.0030075863036816,10,2,True,+,0.03825768498794982
"1-(1-Hydroxybutyl)-2,5-dimethoxybenzene ",Mevalonolactone,,,0,0.948683298050514,0.0513167019494861,4,0.7999999999999999,0.2,4,0.8389096502784891,0.0024139883688156,10,2,True,+,0.034993792992988326
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Butyric Acid,1.0,0.0,3,0.7999999999999999,0.1040880386618278,5,0.7826237921249264,0.117613760873458,5,0.8458365965981027,0.0002688704556093,13,3,True,+,0.009627056035566324
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Pentanoic acid,0.5,0.6666666666666667,3,0.6668859288553501,0.2188939813132316,5,0.4472135954999579,0.4501848557521009,5,0.7617845441700064,0.0024764817967556,13,3,True,+,0.0350789564397579
"1-(2,4-Dimethoxyphenyl)-propan-2-one",Urea,0.5,0.6666666666666667,3,0.7181848464596079,0.1717953049079889,5,0.7826237921249264,0.117613760873458,5,0.7305583740732381,0.0045653150244254,13,3,True,+,0.0480273746538051
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",Heptanoic acid,0.5,0.6666666666666667,3,0.5642880936468347,0.3217233358243002,5,0.9705882352941178,0.0012848565031548,6,0.7635964747497909,0.0014812362159121,14,3,True,+,0.02591828256530358
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",Isopropylamine,-1.0,0.0,3,-0.3999999999999999,0.5046315754686911,5,-0.9276336570439174,0.0076658441874731,6,-0.7054302496598429,0.0048251211249414,14,3,True,-,0.049234571269023225
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine",Nonanoic acid,1.0,0.0,3,0.5642880936468347,0.3217233358243002,5,0.5263157894736843,0.3622454811898449,5,0.7416230049953639,0.0037109270842962,13,3,True,+,0.04323439472599181
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","2(5H)-Furanone, 4-(hydroxymethyl)",,,0,0.6155870112510925,0.2689977701158222,5,0.8986451052612952,0.0148886220055803,6,0.8331042407654097,0.0004053934512557,13,2,True,+,0.011786890797036029
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","2,4-Imidazolidinedione, 5,5-dimethyl",,,0,-0.7,0.1881204043741872,5,-0.8116794499134279,0.0498575851013403,6,-0.7845333801428408,0.0014951491809583,13,2,True,-,0.02604388235480066
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","2,5-Dimethoxybenzhydrazide",,,0,0.7,0.1881204043741872,5,0.7714285714285715,0.0723965014577259,6,0.7701754385964914,0.0033823090954919,12,2,True,+,0.04145388230944496
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","2',5'-Dimethoxypropiophenone",,,0,0.7,0.1881204043741872,5,0.942857142857143,0.004804664723032,6,0.7672176308539945,0.002206286827151,13,2,True,+,0.03281427369458814
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",2-Amino-4-methylbenzophenone,,,0,1.0,1.4042654220543672e-24,5,0.8999999999999998,0.0373860734684987,5,0.8406317620060155,0.0006155686440654,12,2,True,+,0.015248309098477995
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",6-Methyluracil,,,0,-0.7,0.1881204043741872,5,-0.8116794499134279,0.0498575851013403,6,-0.8516154849685795,0.0002204732582728,13,2,True,-,0.00856854361548661
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Aconitic acid,,,0,0.7181848464596079,0.1717953049079889,5,0.8116794499134279,0.0498575851013403,6,0.7417155372125097,0.0037043473183489,13,2,True,+,0.04323439472599181
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Cyclooctylamine,,,0,0.6155870112510925,0.2689977701158222,5,0.8285714285714287,0.0415626822157433,6,0.747240420171262,0.0033275474489802,13,2,True,+,0.041176403152660586
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Hydracrylic acid,,,0,0.0999999999999999,0.8728885715695383,5,1.0,0.0,6,0.7548209366391184,0.0028596729096232,13,2,True,+,0.03720359647888303
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","Hymexazole, tert-butyldimethylsilyl ether",,,0,-0.7,0.1881204043741872,5,-0.8285714285714287,0.0415626822157433,6,-0.8402203856749311,0.0003236474761046,13,2,True,-,0.010517183110054524
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone","Kojic acid, bis(tert-butyldimethylsilyl) ether",,,0,-0.8999999999999998,0.0373860734684987,5,-0.7714285714285715,0.0723965014577259,6,-0.8071625344352618,0.0008510264394273,13,2,True,-,0.018333811929054977
"1-(4-Methoxyphenyl)-4,6-dimethyl-2(1H)-pyrimidinone",Methylthiouracil,,,0,-0.6,0.2847569798652937,5,-0.8285714285714287,0.0415626822157433,6,-0.8126107032724816,0.0013161012937103,12,2,True,-,0.02401878562499609
1-(Cyclohexylmethyl)-4-piperidinylamine,2-Decanol,,,0,0.8660254037844387,0.3333333333333332,3,0.7999999999999999,0.2,4,0.9456108576893004,0.0003860027097318,8,2,True,+,0.01148209598871439
